Episode,Season,Episode in Season,Name,Original air date,US viewers,Rating (18-49),Share (18-49),Rating (household),Share (household),Weekly rank
359,24,8,"""Just Annihilate Them""",4/4/2012,10.4,2.8,9,6.1,10,18
360,24,9,"""Go Out With a Bang""",4/11/2012,9.9,2.7,8,6.0,10,17
361,24,10,"""I'm No Dummy""",4/18/2012,10.0,2.8,9,6.0,9,14
362,24,11,"""Never Say Die""",4/25/2012,9.8,2.7,8,5.9,10,14
363,24,12,"""It's Gonna Be Chaos""",5/2/2012,9.4,2.6,8,5.7,10,21
364,24,13,"""It's Human Nature""",5/9/2012,10.0,2.8,9,6.1,10,22
365,24,14,"""Perception is Not Always Reality""",5/13/2012,10.3,2.9,8,5.8,10,20
366,24,15,"""Reunion""",5/13/2012,7.7,2.3,6,4.6,8,
367,25,1,"""Survivor Smacked Me in the Chops""",9/19/2012,11.4,3.2,10,6.6,11,8
368,25,2,"""Don't be Blinded by the Headlights""",9/26/2012,10.3,3.1,9,6.3,10,24
369,25,3,"""This Isn't a 'We' Game""",10/3/2012,10.4,3.0,9,6.4,10,16
370,25,4,"""Create a Little Chaos""",10/10/2012,9.8,2.8,8,6.4,10,22
371,25,5,"""Got My Swag Back""",10/17/2012,10.4,2.8,8,6.3,10,17
372,25,6,"""Down and Dirty""",10/24/2012,10.2,2.8,8,6.3,10,22
373,25,7,"""Not the Only Actor on This Island""",10/31/2012,9.8,2.5,8,6.1,10,24
374,25,8,"""Dead Man Walking""",11/7/2012,10.3,2.8,8,6.4,10,16
375,25,9,"""Little Miss Perfect""",11/14/2012,10.1,2.6,8,6.1,10,18
376,25,10,"""Whiners are Wieners""",11/21/2012,9.4,2.3,8,4.2,7,21
377,25,11,"""Hell Hath Frozen Over""",11/28/2012,10.4,2.7,8,6.4,10,20
378,25,12,"""Shot Into Smithereens""",12/5/2012,10.6,2.9,8,6.4,10,13
379,25,13,"""Gouge My Eyes Out""",12/12/2012,10.4,2.8,8,6.3,10,17
380,25,14,"""Million Dollar Question""",12/16/2012,11.5,3.2,8,6.8,10,12
381,25,15,"""Reunion""",12/16/2012,8.8,2.3,–,,,
382,26,1,"""She Annoys Me Greatly""",2/13/2013,8.9,2.4,7,5.5,9,18
383,26,2,"""Honey Badger""",2/20/2013,9.3,2.4,7,5.7,9,22
384,26,3,"""There's Gonna Be Hell to Pay""",2/27/2013,9.2,2.6,8,5.9,9,18
385,26,4,"""Kill or Be Killed""",3/6/2013,9.6,2.6,7,5.9,9,11
386,26,5,"""Persona Non Grata""",3/13/2013,9.9,2.7,8,5.9,10,14
387,26,6,"""Operation Thunder Dome""",3/20/2013,9.8,2.6,8,5.8,10,10
388,26,7,"""Tubby Lunchbox""",3/27/2013,9.4,2.5,7,5.5,9,13
389,26,8,"""Blindside Time""",4/3/2013,9.3,2.5,7,5.7,9,22
390,26,9,"""Cut Off the Head of the Snake""",4/10/2013,9.4,2.6,8,5.7,9,20
391,26,10,"""Zipping Over the Cuckoo’s Nest""",4/17/2013,10.0,2.7,8,6.0,10,12
392,26,11,"""Come Over to the Dark Side""",4/24/2013,10.3,2.9,8,5.9,10,5
393,26,12,"""The Beginning of the End""",5/1/2013,9.3,2.4,8,5.8,10,19
394,26,13,"""Don't Say Anything About My Mom""",5/8/2013,9.5,2.6,8,5.7,9,18
395,26,14,"""Last Push""",5/12/2013,10.2,2.7,8,5.8,10,15
396,26,15,"""Reunion""",5/12/2013,8.1,2.2,6,4.9,8,25
397,27,1,"""Blood Is Thicker Than Anything""",9/18/2013,9.7,2.6,8,5.9,10,12
398,27,2,"""Rule In Chaos""",9/25/2013,9.5,2.4,7,5.8,10,24
399,27,3,"""Opening Pandora's Box""",10/2/2013,10.2,2.7,8,6.3,10,21
400,27,4,"""One Armed Dude and Three Moms""",10/9/2013,9.6,2.5,7,5.9,10,19
401,27,5,"""The Dead Can Still Talk""",10/16/2013,10.1,2.6,8,6.0,10,18
402,27,6,"""One-Man Wrecking Ball""",10/23/2013,9.5,2.4,7,5.8,9,22
403,27,7,"""Swoop In For The Kill""",10/30/2013,9.0,2.3,7,5.6,9,25
404,27,8,"""Skin of My Teeth""",11/6/2013,9.3,2.5,7,5.5,9,21
405,27,9,"""My Brother's Keeper""",11/13/2013,9.9,2.5,7,6.0,9,20
406,27,10,"""Big Bad Wolf""",11/20/2013,10.2,2.5,7,5.9,9,20
407,27,11,"""Gloves Come Off""",11/27/2013,8.8,2.2,7,5.1,9,22
408,27,12,"""Rustle Feathers""",12/4/2013,10.6,2.6,8,6.2,10,12
409,27,13,"""Out On a Limb""",12/11/2013,9.9,2.5,8,6.0,10,16
410,27,14,"""It's My Night""",12/15/2013,10.2,2.6,7,5.8,9,14
411,27,15,"""Reunion""",12/15/2013,7.5,1.9,5,4.5,8,
412,28,1,"""Hot Girl With a Grudge""",2/26/2014,9.4,2.4,7,,,20
413,28,2,"""Cops-R-Us""",3/5/2014,9.6,2.4,8,,,18
414,28,3,"""Our Time to Shine""",3/12/2014,9.7,2.5,8,,,16
415,28,4,"""Odd One Out""",3/19/2014,9.5,2.5,8,,,14
416,28,5,"""We Found Our Zombies""",3/26/2014,9.9,2.3,7,,,12
417,28,6,"""Head of the Snake""",4/2/2014,9.5,2.3,7,,,17
418,28,7,"""Mad Treasure Hunt""",4/9/2014,9.6,2.4,7,,,14
419,28,8,"""Bag of Tricks""",4/16/2014,9.4,2.3,8,,,10
420,28,9,"""Sitting In My Spy Shack""",4/23/2014,9.4,2.3,7,,,13
421,28,10,"""Chaos Is My Friend""",4/30/2014,9.7,2.3,7,,,14
422,28,11,"""Havoc to Wreak""",5/7/2014,9.9,2.4,8,,,12
423,28,12,"""Straw That Broke The Camel's Back""",5/14/2014,9.9,2.6,9,,,12
424,28,13,"""It's Do or Die""",5/21/2014,9.6,2.6,8,,,8
425,28,14,"""Reunion""",5/21/2014,7.1,1.9,6,,,14
426,29,1,"""Suck It Up and Survive""",9/24/2014,9.8,2.7,9,,,
427,29,2,"""Method To This Madness""",10/1/2014,9.5,2.4,9,,,
428,29,3,"""Actions vs. Accusations""",10/8/2014,,2.5,8,,,
429,29,4,"""We're a Hot Mess""",10/15/2014,,2.3,8,,,
430,29,5,"""Blood is Blood""",10/22/2014,,2.2,7,,,
431,29,6,"""Make Some Magic Happen""",10/29/2014,,2.2,7,,,
432,29,7,"""Million Dollar Decision""",11/5/2014,,2.3,7,,,
433,29,8,"""Wrinkle In the Plan""",11/12/2014,,2.3,7,,,
434,29,9,"""Gettin' to Crunch Time""",11/19/2014,9.9,2.4,8,,,
435,29,10,"""This Is Where We Build Trust""",11/26/2014,8.9,2.1,7,,,
436,29,11,"""Kind Of Like Cream Cheese""",12/3/2014,8.7,2.1,7,,,
437,29,12,"""Still Holdin' On""",12/3/2014,8.7,2.1,7,,,
438,29,13,"""Let's Make a Move""",12/10/2014,9.5,2.4,8,,,
439,29,14,"""This Is My Time""",12/17/2014,9.8,2.4,8,,,
440,29,15,"""Reunion""",12/17/2014,7.3,1.8,8,,,
441,30,1,"""It's Survivor Warfare""",2/25/2015,10.0,2.4,7,,,12
442,30,2,"""It Will Be My Revenge""",3/4/2015,9.8,2.3,7,,,13
443,30,3,"""Crazy is as Crazy Does""",3/11/2015,9.3,2.2,8,,,20
444,30,4,"""Winner Winner, Chicken Dinner""",3/18/2015,9.6,2.3,7,,,9
445,30,5,"""We're Finally Playing Some Survivor""",3/18/2015,9.6,2.3,7,,,9
446,30,6,"""Odd Woman Out""",3/25/2015,9.6,2.3,8,,,10
447,30,7,"""The Line Will Be Drawn Tonight""",4/1/2015,9.6,2.2,8,,,7
448,30,8,"""Keep It Real""",4/8/2015,9.8,2.5,8,,,12
449,30,9,"""Livin' On the Edge""",4/15/2015,9.4,2.2,8,,,12
450,30,10,"""Bring the Popcorn""",4/22/2015,10.2,2.4,8,,,10
451,30,11,"""Survivor Russian Roulette""",4/29/2015,9.3,2.2,8,,,11
452,30,12,"""Holding on for Dear Life""",5/6/2015,9.2,2.1,8,,,9
453,30,13,"""My Word Is My Bond""",5/13/2015,9.6,2.3,8,,,7
454,30,14,"""It's A Fickle, Fickle Game""",5/20/2015,9.7,2.3,7,,,5
455,30,15,"""Reunion""",5/20/2015,7.2,1.8,6,,,14
456,31,1,"""Second Chance""",9/23/2015,9.7,2.5,8,,,18
457,31,2,"""Survivor MacGyver""",9/30/2015,9.4,2.4,9,,,14
458,31,3,"""We Got a Rat""",10/7/2015,9.1,2.0,7,,,17
459,31,4,"""What's the Beef?""",10/14/2015,9.1,2.2,8,,,13
460,31,5,"""A Snake in the Grass""",10/21/2015,9.1,2.1,8,,,15
461,31,6,"""Bunking with the Devil""",10/28/2015,8.5,2.1,7,,,16
462,31,7,"""Play to Win""",11/4/2015,8.8,2.0,7,,,16
463,31,8,"""You Call, We'll Haul""",11/11/2015,9.0,2.1,7,,,15
464,31,9,"""Witches Coven""",11/18/2015,9.1,2.1,7,,,17
465,31,10,"""Like Selling Your Soul to the Devil""",11/25/2015,8.1,1.8,6,,,17
466,31,11,"""My Wheels are Spinning""",11/25/2015,8.1,1.8,6,,,17
467,31,12,"""Tiny Little Shanks to the Heart""",12/2/2015,9.4,2.1,7,,,14
468,31,13,"""Villains Have More Fun""",12/9/2015,9.9,2.3,8,,,9
469,31,14,"""Lie, Cheat and Steal""",12/16/2015,9.5,2.2,8,,,8
470,31,15,"""Reunion""",12/16/2015,6.5,1.7,6,,,14
471,32,1,"""I'm a Mental Giant""",2/17/2016,8.3,1.9,7,,,13
472,32,2,"""Kindergarten Camp""",2/24/2016,8.4,1.9,6,,,15
473,32,3,"""The Circle of Life""",3/2/2016,9.2,2.2,8,,,5
474,32,4,"""Signed, Sealed and Delivered""",3/9/2016,9.3,2.1,8,,,7
475,32,5,"""The Devils We Know""",3/16/2016,9.5,2.1,8,,,7
476,32,6,"""Play or Go Home""",3/23/2016,9.3,2.1,8,,,9
477,32,7,"""It's Merge Time""",3/30/2016,9.2,2.0,7,,,8
478,32,8,"""The Jocks vs. the Pretty People""",4/6/2016,9.0,1.9,7,,,10
479,32,9,"""It's Psychological Warfare""",4/13/2016,8.4,1.9,7,,,7
480,32,10,"""I'm Not Here to Make Good Friends""",4/20/2016,9.3,2.0,7,,,4
481,32,11,"""It’s a ‘Me’ Game, Not a ‘We’ Game""",4/27/2016,9.5,2.1,8,,,3
482,32,12,"""Now’s the Time to Start Scheming""",5/4/2016,9.5,2.1,8,,,4
483,32,13,"""With Me or Not With Me""",5/11/2016,9.5,2.1,8,,,3
484,32,14,"""Not Going Down Without a Fight""",5/18/2016,9.5,2.1,7,,,5
485,32,15,"""Reunion""",5/18/2016,6.4,1.5,5,,,18
486,33,1,"""May the Best Generation Win""",9/21/2016,9.5,2.3,8,,,14
487,33,2,"""Love Goggles""",9/28/2016,9.2,2.1,8,,,16
488,33,3,"""Your Job is Recon""",10/5/2016,8.6,1.9,7,,,15
489,33,4,"""Who's the Sucker at the Table?""",10/12/2016,9.1,2.0,8,,,18
490,33,5,"""Idol Search Party""",10/19/2016,8.6,1.9,7,,,17
491,33,6,"""The Truth Works Well""",10/26/2016,8.3,1.9,7,,,23
492,33,7,"""I Will Destroy You""",11/2/2016,6.9,1.6,5,,,22
493,33,8,"""I'm the Kingpin""",11/9/2016,8.8,1.9,7,,,14
494,33,9,"""Still Throwin' Punches""",11/16/2016,8.5,1.8,6,,,17
495,33,10,"""Million Dollar Gamble""",11/23/2016,7.7,1.5,5,,,16
496,33,11,"""About to Have a Rumble""",11/30/2016,8.9,1.9,7,,,16
497,33,12,"""Slayed the Survivor Dragon""",12/7/2016,8.5,1.7,6,,,16
498,33,13,"""I'm Going for a Million Bucks""",12/14/2016,9.1,1.9,7,,,13
499,33,14,"""Reunion""",12/14/2016,6.4,1.3,5,,,13
501,34,2,"""Survivor Jackpot""",3/15/2017,7.9,1.7,7,,,11
502,34,3,"""The Tables Have Turned""",3/22/2017,8.1,1.7,7,,,10
503,34,4,"""Dirty Deed""",3/29/2017,8.3,1.8,7,,,15
504,34,5,"""Vote Early, Vote Often""",4/5/2017,8.4,1.7,7,,,14
505,34,6,"""What Happened on Exile, Stays on Exile""",4/12/2017,8.3,1.7,7,,,8
506,34,7,"""There's a New Sheriff in Town""",4/19/2017,7.9,1.7,7,,,11
507,34,8,"""A Line Drawn in Concrete""",4/26/2017,8.5,1.8,7,,,9
508,34,9,"""Reinventing How This Game Is Played""",5/3/2017,8.3,1.8,8,,,12
509,34,10,"""It Is Not a High Without a Low""",5/10/2017,8.3,1.7,7,,,11
510,34,11,"""Parting Is Such Sweet Sorrow""",5/17/2017,8.3,1.7,7,,,8
511,34,12,"""No Good Deed Goes Unpunished""",5/24/2017,8.5,1.9,8,,,6
512,34,13,"""Reunion""",5/24/2017,5.8,1.3,5,,,15
513,35,1,"""I'm Not Crazy, I'm Confident""",9/27/2017,8.3,1.8,7,,,23
514,35,2,"""I'm a Wild Banshee""",10/4/2017,8.2,1.6,6,,,20
515,35,3,"""My Kisses Are Very Private""",10/11/2017,8.0,1.7,7,,,19
516,35,4,"""I Don't Like Having Snakes Around""",10/18/2017,8.1,1.8,7,,,17
517,35,5,"""The Past Will Eat You Alive""",10/25/2017,8.2,1.7,7,,,17
518,35,6,"""This is Why You Play Survivor""",11/1/2017,7.7,1.6,6,,,20
519,35,7,"""Get to Gettin'""",11/8/2017,7.8,1.6,6,,,21
520,35,8,"""Playing with the Devil""",11/15/2017,8.9,1.7,6,,,18
521,35,9,"""Fear of the Unknown""",11/22/2017,7.4,1.4,5,,,15
522,35,10,"""Buy One, Get One Free""",11/29/2017,8.3,1.8,7,,,18
523,35,11,"""Not Going to Roll Over and Die""",12/6/2017,9.0,1.8,7,,,11
524,35,12,"""The Survivor Devil""",12/13/2017,8.7,1.8,7,,,11
525,35,13,"""Million Dollar Night""",12/20/2017,8.7,1.9,8,,,8
526,35,14,"""Reunion Special""",12/20/2017,6.0,1.2,5,,,17
527,36,1,"""Can You Reverse the Curse?""",2/28/2018,8.2,1.7,7,,,14
528,36,2,"""Only Time Will Tell""",3/7/2018,8.2,1.7,7,,,14
529,36,3,"""Trust Your Gut""",3/14/2018,8.4,1.7,7,,,11
530,36,4,"""A Diamond in the Rough""",3/21/2018,8.6,1.8,7,,,6
531,36,5,"""Fate is the Homie""",3/28/2018,8.2,1.7,7,,,15
532,36,6,"""Gotta Risk it For the Biscuit""",4/4/2018,8.4,1.7,7,,,11
533,36,7,"""Fear Keeps You Sharp""",4/11/2018,8.0,1.6,7,,,10
534,36,8,"""The Sea Slug Slugger""",4/18/2018,7.7,1.6,7,,,12
535,36,9,"""It's Like the Perfect Crime""",4/25/2018,7.8,1.6,7,,,9
536,36,10,"""The Finish Line Is in Sight""",5/2/2018,7.8,1.5,7,,,14
537,36,11,"""A Giant Game of Bumper Cars""",5/9/2018,7.7,1.5,7,,,13
538,36,12,"""Always Be Moving""",5/16/2018,7.5,1.5,6,,,11
539,36,13,"""It is Game Time Kids""",5/23/2018,7.3,1.4,6,,,7
540,36,14,"""Reunion Special""",5/23/2018,4.6,0.8,3,,,23
