Name,Age,Hometown,Season,Finish,Tribal Challenge Wins,Individual Challenge Wins,Total Wins,Days Lasted,Votes Against,Profile Link,Photo Link
Cirie Fields,37,"Norwalk, CT",Micronesia,3rd,5,0,5,38,3,Cirie Fields,
Amanda Kimmel,23,"Los Angeles, CA",Micronesia,Runner-Up,5,3,8,39,4,Amanda Kimmel,
Parvati Shallow,25,"Los Angeles, CA",Micronesia,Sole Survivor,10,1,11,39,4,Parvati Shallow,
Michelle Chase,24,"Los Angeles, CA",Gabon,18th,0,0,0,3,8,Michelle Chase,
Gillian Larson,61,"Temecula, CA",Gabon,17th,0,0,0,6,8,Gillian Larson,
Paloma Soto-Castillo,23,"Downey, CA",Gabon,16th,3,0,3,9,7,Paloma Soto-Castillo,
Jacquie Berg,25,"Santa Barbara, CA",Gabon,15th,3,0,3,12,5,Jacquie Berg,
G.C. Brown,25,"Portland, OR",Gabon,14th,2,1,3,15,6,G.C. Brown,
Kelly Czarnecki,22,"Buffalo Grove, IL",Gabon,13th,3,0,3,18,8,Kelly Czarnecki,
Ace Gordon,27,"Naples, FL",Gabon,12th,3,0,3,21,5,Ace Gordon,
Dan Kay,32,"Boston, MA",Gabon,11th,8,0,8,21,4,Dan Kay,
Marcus Lehman,28,"Atlanta, GA",Gabon,10th,9,2,11,24,3,Marcus Lehman,
Charlie Herschel,29,"New York City, NY",Gabon,9th,11,0,11,27,5,Charlie Herschel,
Randy Bailey,49,"Eagle Rock, MO",Gabon,8th,10,0,10,30,5,Randy Bailey,
Corinne Kaplan,29,"Los Angeles, CA",Gabon,7th,11,0,11,33,4,Corinne Kaplan,
Crystal Cox,29,"Durham, NC",Gabon,6th,2,0,2,36,11,Crystal Cox,
Ken Hoang,22,"Westminister, CA",Gabon,5th,2,1,3,37,7,Ken Hoang,
Matty Whitmore,29,"Pacific Palisades, CA",Gabon,4th,4,0,4,38,7,Matty Whitmore,
Sugar Kiper,29,"Brooklyn, NY",Gabon,2nd Runner-Up,5,0,5,39,0,Sugar Kiper,
Susie Smith,47,"Charles City, IA",Gabon,Runner-Up,8,2,10,39,7,Susie Smith,
Bob Crowley,57,"Portland, ME",Gabon,Sole Survivor,9,5,14,39,2,Bob Crowley,
Carolina Eastwood,26,"West Hollywood, CA",Tocantins,16th,0,N/A,0,3,7,Carolina Eastwood,
Candace Smith,31,"Los Angeles, CA",Tocantins,15th,1,N/A,1,6,7,Candace Smith,
Jerry Sims,49,"Rock Hill, SC",Tocantins,14th,1,N/A,1,9,6,Jerry Sims,
Sandy Burgin,53,"Louisville, KY",Tocantins,13th,4,N/A,4,12,6,Sandy Burgin,
Spencer Duhm,18,"Gainesville, FL",Tocantins,12th,5,N/A,5,15,5,Spencer Duhm,
Sydney Wheeler,24,"San Diego, CA",Tocantins,11th,5,N/A,5,18,4,Sydney Wheeler,
Joe Dowdle,26,"Austin, TX",Tocantins,10th,5,0,5,20,1,Joe Dowdle,
Brendan Synnott,30,"Vail, CO",Tocantins,9th,5,1,6,24,4,Brendan Synnott,
Tyson Apostol,29,"Heber City, UT",Tocantins,8th,5,3,8,27,5,Tyson Apostol,
Sierra Reed,23,"Los Angeles, CA",Tocantins,7th,5,0,5,30,11,Sierra Reed,
Debbie Beebe,46,"Auburn, AL",Tocantins,6th,5,3,8,33,6,Debbie Beebe,
Coach Wade,37,"Bolivar, MO",Tocantins,5th,5,1,6,36,6,Coach Wade,
Taj Johnson-George,37,"Nashville, TN",Tocantins,4th,5,0,5,37,7,Taj Johnson-George,
Erinn Lobdell,26,"Milwaukee, WI",Tocantins,3rd,5,1,6,38,5,Erinn Lobdell,
Stephen Fishbach,29,"New York City, NY",Tocantins,Runner-Up,5,2,7,39,1,Stephen Fishbach,
J.T. Thomas,24,"Mobile, AL",Tocantins,Sole Survivor,5,6,11,39,0,J.T. Thomas,
Marisa Calihan,26,"Cincinnati, OH",Samoa,20th,1,N/A,1,3,7,Marisa Calihan,
Mike Borassi,62,"Marina del Rey, CA",Samoa,19th,1,N/A,1,5,0,Mike Borassi,
Betsy Bolan,48,"Campton, NH",Samoa,18th,1,N/A,1,6,7,Betsy Bolan,
Ben Browning,28,"Los Angeles, CA",Samoa,17th,1,N/A,1,8,7,Ben Browning,
Yasmin Giles,33,"Los Angeles, CA",Samoa,16th,4,N/A,4,11,8,Yasmin Giles,
Ashley Trainer,22,"Maple Grove, MN",Samoa,15th,2,N/A,2,14,9,Ashley Trainer,
Russell Swan,42,"Glenside, PA",Samoa,14th,6,N/A,6,15,0,Russell Swan,
Liz Kim,33,"New York City, NY",Samoa,13th,2,N/A,2,18,5,Liz Kim,
Erik Cardona,28,"Los Angeles, CA",Samoa,12th,8,0,8,21,10,Erik Cardona,
Kelly Sharbaugh,25,"San Diego, CA",Samoa,11th,8,1,9,24,4,Kelly Sharbaugh,
Laura Morett,39,"Salem, OR",Samoa,10th,8,3,11,27,10,Laura Morett,
John Fincher,25,"Santa Monica, CA",Samoa,9th,8,2,10,30,7,John Fincher,
Dave Ball,38,"Los Angeles, CA",Samoa,8th,8,2,10,31,8,Dave Ball,
Monica Padilla,25,"San Diego, CA",Samoa,7th,8,1,9,33,7,Monica Padilla,
Shambo Waters,45,"Renton, WA",Samoa,6th,8,2,10,36,6,Shambo Waters,
Jaison Robinson,28,"Chicago, IL",Samoa,5th,2,3,5,37,7,Jaison Robinson,
Brett Clouser,23,"Los Angeles, CA",Samoa,4th,8,4,12,38,3,Brett Clouser,
Mick Trimming,33,"Los Angeles, CA",Samoa,2nd Runner-Up,2,1,3,39,4,Mick Trimming,
Russell Hantz,36,"Dayton, TX",Samoa,Runner-Up,2,3,5,39,9,Russell Hantz,
Natalie White,26,"Van Buren, AR",Samoa,Sole Survivor,2,1,3,39,8,Natalie White,
Sugar Kiper,30,"Los Angeles, CA",Heroes vs. Villains,20th,1,N/A,1,3,9,Sugar Kiper,
Stephenie LaGrossa,29,"Philadelphia, PA",Heroes vs. Villains,19th,1,N/A,1,6,6,Stephenie LaGrossa,
Randy Bailey,50,"Austin, TX",Heroes vs. Villains,18th,2,N/A,2,8,9,Randy Bailey,
Cirie Fields,39,"Norwalk, CT",Heroes vs. Villains,17th,2,N/A,2,11,3,Cirie Fields,
Tom Westman,45,"New York City, NY",Heroes vs. Villains,16th,2,N/A,2,14,8,Tom Westman,
Tyson Apostol,30,"Lindon, UT",Heroes vs. Villains,15th,7,0,7,15,3,Tyson Apostol,
James Clement,32,"Lafayette, LA",Heroes vs. Villains,14th,2,0,2,15,7,James Clement,
Rob Mariano,33,"Pensacola, FL",Heroes vs. Villains,13th,7,1,8,18,5,Rob Mariano,
Coach Wade,38,"Susanville, CA",Heroes vs. Villains,12th,7,0,7,21,4,Coach Wade,
Courtney Yates,28,"New York City, NY",Heroes vs. Villains,11th,8,0,8,24,9,Courtney Yates,
J.T. Thomas,25,"Mobile, AL",Heroes vs. Villains,10th,7,0,7,27,5,J.T. Thomas,
Amanda Kimmel,25,"Los Angeles, CA",Heroes vs. Villains,9th,7,1,8,30,10,Amanda Kimmel,
Candice Woodcock,26,"Washington, D.C.",Heroes vs. Villains,8th,7,1,8,31,5,Candice Woodcock,
Danielle DiLorenzo,28,"Los Angeles, CA",Heroes vs. Villains,7th,8,2,10,33,4,Danielle DiLorenzo,
Rupert Boneham,45,"Indianapolis, IN",Heroes vs. Villains,6th,7,0,7,36,10,Rupert Boneham,
Colby Donaldson,35,"Dallas, TX",Heroes vs. Villains,5th,7,1,8,37,7,Colby Donaldson,
Jerri Manthey,38,"Los Angeles, CA",Heroes vs. Villains,4th,8,2,10,38,9,Jerri Manthey,
Russell Hantz,36,"Dayton, TX",Heroes vs. Villains,2nd Runner-Up,8,2,10,39,5,Russell Hantz,
Parvati Shallow,26,"Los Angeles, CA",Heroes vs. Villains,Runner-Up,8,3,11,39,8,Parvati Shallow,
Sandra Diaz-Twine,35,"Fayatteville, NC",Heroes vs. Villains,Sole Survivor,8,0,8,39,3,Sandra Diaz-Twine,
Wendy DeSmidt-Kohlhoff,48,"Fromberg, MT",Nicaragua,20th,0,N/A,0,3,9,Wendy DeSmidt-Kohlhoff,
Shannon Elkins,30,"Lafayette, LA",Nicaragua,19th,2,N/A,2,6,7,Shannon Elkins,
Jimmy Johnson,67,"Islamorada, FL",Nicaragua,18th,1,N/A,1,8,8,Jimmy Johnson,
Jimmy Tarantino,48,"Gloucester, MA",Nicaragua,17th,1,N/A,1,11,5,Jimmy Tarantino,
Tyrone Davis,42,"Inglewood, CA",Nicaragua,16th,2,N/A,2,14,6,Tyrone Davis,
Kelly Bruno,26,"Durham, NC",Nicaragua,15th,6,0,6,15,8,Kelly Bruno,
Yve Rojas,41,"Kansas City, MO",Nicaragua,14th,2,0,2,15,7,Yve Rojas,
Jill Behm,43,"Erie, PA",Nicaragua,13th,3,1,4,18,3,Jill Behm,
Alina Wilson,23,"Downey, CA",Nicaragua,12th,7,0,7,22,10,Alina Wilson,
Marty Piombo,48,"Mill Valley, CA",Nicaragua,11th,3,1,4,24,15,Marty Piombo,
Brenda Lowe,27,"Miami, FL",Nicaragua,10th,6,1,7,27,13,Brenda Lowe,
NaOnka Mixon,27,"Los Angeles, CA",Nicaragua,9th,7,2,9,28,3,NaOnka Mixon,
Kelly Shinn,20,"Mesa, AZ",Nicaragua,8th,6,1,7,28,0,Kelly Shinn,
Benry Henry,24,"Los Angeles, CA",Nicaragua,7th,7,2,9,32,5,Benry Henry,
Jane Bright,56,"Jackson Springs, NC",Nicaragua,6th,3,3,6,36,11,Jane Bright,
Dan Lembo,63,"Watermill, NY",Nicaragua,5th,4,2,6,37,9,Dan Lembo,
Holly Hoffman,44,"Eureka, SD",Nicaragua,4th,4,2,6,38,4,Holly Hoffman,
Sash Lenahan,30,"New York City, NY",Nicaragua,2nd Runner-Up,6,2,8,39,2,Sash Lenahan,
Chase Rice,24,"Fairview, NC",Nicaragua,Runner-Up,7,4,11,39,1,Chase Rice,
Fabio Birza,21,"Venice, CA",Nicaragua,Sole Survivor,6,6,12,39,2,Fabio Birza,
Francesca Hogi,36,"Washington, D.C.",Redemption Island,18th,0,0,0,6,4,Francesca Hogi,
Russell Hantz,37,"Dayton, TX",Redemption Island,17th,2,0,2,10,8,Russell Hantz,
Kristina Kell,46,"Malibu, CA",Redemption Island,16th,1,0,1,12,9,Kristina Kell,
Krista Klumpp,25,"Columbia, SC",Redemption Island,15th,3,0,3,14,6,Krista Klumpp,
Stephanie Valencia,26,"Long Beach, CA",Redemption Island,14th,3,0,3,17,8,Stephanie Valencia,
Sarita White,36,"Santa Monica, CA",Redemption Island,13th,3,0,3,19,6,Sarita White,
David Murphy,31,"West Hollywood, CA",Redemption Island,12th,3,0,3,25,8,David Murphy,
Julie Wolfe,50,"Oceanside, CA",Redemption Island,11th,3,0,3,28,6,Julie Wolfe,
Steve Wright,51,"Huntington Beach, CA",Redemption Island,10th,3,0,3,31,9,Steve Wright,
Ralph Kiser,45,"Lebanon, VA",Redemption Island,9th,3,1,4,33,10,Ralph Kiser,
Grant Mattos,29,"West Hollywood, CA",Redemption Island,8th,4,2,6,36,10,Grant Mattos,
Matt Elrod,22,"Nashville, TN",Redemption Island,7th,0,10,10,36,10,Matt Elrod,
Mike Chiesl,31,"Del Mar, CA",Redemption Island,6th,3,4,7,36,6,Mike Chiesl,
Andrea Boehlke,21,"Random Lake, WI",Redemption Island,5th,4,3,7,37,9,Andrea Boehlke,
Ashley Underwood,25,"Benton, ME",Redemption Island,4th,4,2,6,38,3,Ashley Underwood,
Natalie Tenerelli,19,"Acton, CA",Redemption Island,2nd Runner-Up,4,1,5,39,1,Natalie Tenerelli,
Phillip Sheppard,52,"Santa Monica, CA",Redemption Island,Runner-Up,4,0,4,39,17,Phillip Sheppard,
Rob Mariano,34,"Pensacola, FL",Redemption Island,Sole Survivor,4,4,8,39,7,Rob Mariano,
Semhar Tadesse,24,"Los Angeles, CA",South Pacific,18th,1,0,1,6,8,Semhar Tadesse,
Mark Caruso,48,"Forest Hills, NY",South Pacific,17th,2,0,2,9,6,Mark Caruso,
Stacey Powell,44,"Grand Prairie, TX",South Pacific,16th,2,0,2,12,10,Stacey Powell,
Elyse Umemoto,27,"Las Vegas, NV",South Pacific,15th,3,0,3,15,3,Elyse Umemoto,
Mikayla Wingle,22,"Tampa, FL",South Pacific,14th,3,0,3,17,4,Mikayla Wingle,
Christine Shields Markoski,39,"Merrick, NY",South Pacific,13th,1,5,6,19,4,Christine Shields Markoski,
Jim Rice,35,"Denver, CO",South Pacific,12th,4,1,5,25,8,Jim Rice,
Keith Tollefson,26,"Edina, MN",South Pacific,11th,4,0,4,25,12,Keith Tollefson,
Dawn Meehan,41,"South Jordan, UT",South Pacific,10th,4,1,5,28,9,Dawn Meehan,
Whitney Duncan,27,"Nashville, TN",South Pacific,9th,4,1,5,28,7,Whitney Duncan,
John Cochran,24,"Washington, D.C.",South Pacific,8th,4,0,4,31,13,John Cochran,
Edna Ma,35,"Los Angeles, CA",South Pacific,7th,4,0,4,33,15,Edna Ma,
Brandon Hantz,19,"Katy, TX",South Pacific,6th,4,1,5,36,4,Brandon Hantz,
Rick Nelson,51,"Aurora, UT",South Pacific,5th,4,0,4,37,15,Rick Nelson,
Ozzy Lusth,30,"Venice, CA",South Pacific,4th,4,8,12,38,17,Ozzy Lusth,
Albert Destrade,26,"Plantation, FL",South Pacific,2nd Runner-Up,4,1,5,39,1,Albert Destrade,
Coach Wade,39,"Susanville, CA",South Pacific,Runner-Up,4,1,5,39,0,Coach Wade,
Sophie Clarke,22,"Willsboro, NY",South Pacific,Sole Survivor,4,3,7,39,5,Sophie Clarke,
Kourtney Moon,29,"Austin, TX",One World,18th,0,N/A,0,3,N/A,Kourtney Moon,
Nina Acosta,51,"Clovis, CA",One World,17th,0,N/A,0,5,6,Nina Acosta,
Matt Quinlan,33,"San Francisco, CA",One World,16th,3,N/A,3,8,7,Matt Quinlan,
Bill Posley,28,"Venice, CA",One World,15th,4,N/A,4,11,8,Bill Posley,
Monica Culpepper,41,"Tampa, FL",One World,14th,3,N/A,3,14,5,Monica Culpepper,
Colton Cumbie,21,"Monroeville, AL",One World,13th,4,N/A,4,16,1,Colton Cumbie,
Jonas Otsuji,37,"Lehi, UT",One World,12th,4,0,4,20,10,Jonas Otsuji,
Michael Jefferson,30,"Seattle, WA",One World,11th,7,1,8,22,9,Michael Jefferson,
Jay Byars,25,"Gaffney, SC",One World,10th,7,3,10,25,5,Jay Byars,
Leif Manson,27,"San Diego, CA",One World,9th,4,1,5,27,5,Leif Manson,
Troyzan Robertson,50,"Miami, FL",One World,8th,7,4,11,30,6,Troyzan Robertson,
Kat Edorsson,22,"Orlando, FL",One World,7th,6,2,8,33,7,Kat Edorsson,
Tarzan Smith,64,"Houston, TX",One World,6th,4,1,5,36,12,Tarzan Smith,
Alicia Rosa,25,"Chicago, IL",One World,5th,3,3,6,37,5,Alicia Rosa,
Christina Cha,29,"West Hollywood, CA",One World,4th,3,2,5,38,9,Christina Cha,
Chelsea Meissner,26,"Charleston, SC",One World,2nd Runner-Up,6,3,9,39,4,Chelsea Meissner,
Sabrina Thompson,33,"Brooklyn, NY",One World,Runner-Up,6,2,8,39,2,Sabrina Thompson,
Kim Spradlin,29,"San Antonio, TX",One World,Sole Survivor,6,6,12,39,3,Kim Spradlin,
Zane Knight,28,"Danville, VA",Philippines,18th,0,N/A,0,3,5,Zane Knight,
Roxy Morris,28,"Brooklyn, NY",Philippines,17th,0,N/A,0,6,4,Roxy Morris,
Angie Layton,20,"Provo, UT",Philippines,16th,0,N/A,0,8,4,Angie Layton,
Russell Swan,45,"Glenside, PA",Philippines,15th,0,N/A,0,10,4,Russell Swan,
Dana Lambert,32,"Winston-Salem, NC",Philippines,14th,4,N/A,4,12,N/A,Dana Lambert,
Sarah Dawson,28,"Silver Spring, MD",Philippines,13th,4,N/A,4,13,5,Sarah Dawson,
Katie Hanson,22,"Newark, DE",Philippines,12th,5,N/A,5,16,4,Katie Hanson,
RC Saint-Amour,27,"New York City, NY",Philippines,11th,7,0,7,19,4,RC Saint-Amour,
Jeff Kent,44,"Austin, TX",Philippines,10th,5,1,6,22,5,Jeff Kent,
Artis Silvester,53,"Terrytown, LA",Philippines,9th,7,0,7,25,5,Artis Silvester,
Pete Yurkowski,24,"Holmdel, NJ",Philippines,8th,7,1,8,27,9,Pete Yurkowski,
Jonathan Penner,50,"Los Angeles, CA",Philippines,7th,5,3,8,30,14,Jonathan Penner,
Carter Williams,24,"Shawnee, KS",Philippines,6th,5,4,9,33,5,Carter Williams,
Abi-Maria Gomes,32,"Los Angeles, CA",Philippines,5th,7,2,9,36,9,Abi-Maria Gomes,
Malcolm Freberg,25,"Hermosa Beach, CA",Philippines,4th,3,7,10,38,6,Malcolm Freberg,
Lisa Whelchel,49,"Dallas, TX",Philippines,Co-Runner-Up,7,1,8,39,0,Lisa Whelchel,
Michael Skupin,50,"White Lake, MI",Philippines,Co-Runner-Up,7,3,10,39,0,Michael Skupin,
Denise Stapley,41,"Cedar Rapids, IA",Philippines,Sole Survivor,1,3,4,39,6,Denise Stapley,
Francesca Hogi,38,"Brooklyn, NY",Caramoan,20th,1,N/A,1,3,6,Francesca Hogi,
Allie Pohevitz,25,"Oceanside, NY",Caramoan,19th,1,N/A,1,5,6,Allie Pohevitz,
Hope Driskill,23,"Jefferson City, MO",Caramoan,18th,1,N/A,1,7,8,Hope Driskill,
Shamar Thomas,27,"Brooklyn, NY",Caramoan,17th,1,N/A,1,10,8,Shamar Thomas,
Laura Alexander,23,"Washington, D.C.",Caramoan,16th,1,N/A,1,10,6,Laura Alexander,
Brandon Hantz,21,"Katy, TX",Caramoan,15th,6,N/A,6,13,8,Brandon Hantz,
Matt Bischoff,38,"Cincinnati, OH",Caramoan,14th,1,N/A,1,16,4,Matt Bischoff,
Julia Landauer,21,"Stanford, CA",Caramoan,13th,1,N/A,1,19,9,Julia Landauer,
Corinne Kaplan,33,"Los Angeles, CA",Caramoan,12th,6,0,6,22,7,Corinne Kaplan,
Michael Snow,44,"New York City, NY",Caramoan,11th,1,1,2,25,10,Michael Snow,
Phillip Sheppard,54,"Santa Monica, CA",Caramoan,10th,6,1,7,28,5,Phillip Sheppard,
Malcolm Freberg,25,"Hermosa Beach, CA",Caramoan,9th,9,0,9,30,11,Malcolm Freberg,
Reynold Toepfer,30,"San Francisco, CA",Caramoan,8th,4,3,7,31,9,Reynold Toepfer,
Andrea Boehlke,23,"New York City, NY",Caramoan,7th,9,1,10,33,13,Andrea Boehlke,
Brenda Lowe,29,"Miami, FL",Caramoan,6th,9,2,11,36,5,Brenda Lowe,
Erik Reichenbach,27,"Santa Clarita, CA",Caramoan,5th,9,3,12,36,2,Erik Reichenbach,
Eddie Fox,23,"East Brunswick, NJ",Caramoan,4th,4,1,5,38,16,Eddie Fox,
Dawn Meehan,42,"South Jordan, UT",Caramoan,Co-Runner-Up,6,2,8,39,2,Dawn Meehan,
Sherri Biethman,41,"Boise, ID",Caramoan,Co-Runner-Up,4,0,4,39,6,Sherri Biethman,
John Cochran,25,"Washington, D.C.",Caramoan,Sole Survivor,6,6,12,39,0,John Cochran,
Rupert Boneham,49,"Indianapolis, IN",Blood vs. Water,20th,0,0,0,4,0,Rupert Boneham,
Colton Cumbie,22,"Collinsville, AL",Blood vs. Water,19th,2,N/A,2,7,0,Colton Cumbie,
Rachel Foulger,33,"Provo, UT",Blood vs. Water,18th,0,0,0,7,5,Rachel Foulger,
Marissa Peterson,21,"Chapel Hill, NC",Blood vs. Water,17th,0,2,2,9,10,Marissa Peterson,
Candice Cody,30,"Washington, D.C.",Blood vs. Water,16th,0,3,3,11,6,Candice Cody,
Brad Culpepper,44,"Tampa, FL",Blood vs. Water,15th,0,1,1,14,7,Brad Culpepper,
Kat Edorsson,23,"Orlando, FL",Blood vs. Water,14th,4,0,4,17,5,Kat Edorsson,
John Cody,30,"Washington, D.C.",Blood vs. Water,13th,0,4,4,19,8,John Cody,
Laura Boneham,44,"Indianapolis, IN",Blood vs. Water,12th,4,0,4,19,11,Laura Boneham,
Aras Baskauskas,31,"Santa Monica, CA",Blood vs. Water,11th,6,0,6,25,7,Aras Baskauskas,
Vytas Baskauskas,33,"Santa Monica, CA",Blood vs. Water,10th,1,2,3,27,10,Vytas Baskauskas,
Caleb Bankston,26,"Collinsville, AL",Blood vs. Water,9th,3,0,3,30,4,Caleb Bankston,
Katie Collins,25,"New York City, NY",Blood vs. Water,8th,1,1,2,33,4,Katie Collins,
Hayden Moss,27,"Springtown, TX",Blood vs. Water,7th,3,0,3,36,8,Hayden Moss,
Laura Morett,43,"Salem, OR",Blood vs. Water,6th,4,6,10,36,19,Laura Morett,
Ciera Eastin,24,"Salem, OR",Blood vs. Water,5th,3,1,4,37,14,Ciera Eastin,
Tina Wesson,52,"Robbinsville, NC",Blood vs. Water,4th,4,5,9,38,10,Tina Wesson,
Gervase Peterson,43,"Philadelphia, PA",Blood vs. Water,2nd Runner-Up,6,1,7,39,6,Gervase Peterson,
Monica Culpepper,42,"Tampa, FL",Blood vs. Water,Runner-Up,4,3,7,39,6,Monica Culpepper,
Tyson Apostol,34,"Provo, UT",Blood vs. Water,Sole Survivor,6,2,8,39,2,Tyson Apostol,
David Samson,45,"Plantation, FL",Cagayan,18th,0,N/A,0,3,4,David Samson,
Garrett Adelstein,27,"Santa Monica, CA",Cagayan,17th,0,N/A,0,6,3,Garrett Adelstein,
Brice Johnston,27,"Philadelphia, PA",Cagayan,16th,2,N/A,2,8,5,Brice Johnston,
J'Tia Taylor,31,"Chicago, IL",Cagayan,15th,1,N/A,1,11,7,J'Tia Taylor,
Cliff Robinson,46,"Newark, NJ",Cagayan,14th,6,N/A,6,14,4,Cliff Robinson,
Lindsey Ogle,29,"Kokomo, IN",Cagayan,13th,6,N/A,6,14,0,Lindsey Ogle,
Alexis Maxwell,21,"Addison, IL",Cagayan,12th,5,N/A,5,16,8,Alexis Maxwell,
Sarah Lacina,29,"Cedar Rapids, IA",Cagayan,11th,6,0,6,19,6,Sarah Lacina,
Morgan McLeod,21,"San Jose, CA",Cagayan,10th,5,1,6,22,8,Morgan McLeod,
LJ McKanas,34,"Boston, MA",Cagayan,9th,7,1,8,25,8,LJ McKanas,
Jeremiah Wood,34,"Dobson, NC",Cagayan,8th,5,3,8,28,9,Jeremiah Wood,
Jefra Bland,22,"Campbellsville, KY",Cagayan,7th,7,2,9,30,9,Jefra Bland,
Tasha Fox,37,"St. Louis, MO",Cagayan,6th,2,4,6,33,4,Tasha Fox,
Trish Hegarty,48,"Needham, MA",Cagayan,5th,8,0,8,36,5,Trish Hegarty,
Spencer Bledsoe,21,"Chicago, IL",Cagayan,4th,2,7,9,37,8,Spencer Bledsoe,
Kass McQuillen,41,"Tehachapi, CA",Cagayan,3rd,2,2,4,38,2,Kass McQuillen,
Woo Hwang,29,"Newport Beach, CA",Cagayan,Runner-Up,8,3,11,39,4,Woo Hwang,
Tony Vlachos,39,"Jersey City, NJ",Cagayan,Sole Survivor,8,2,10,39,5,Tony Vlachos,
Nadiya Anderson,28,"Edgewater, NJ",San Juan del Sur,18th,0,N/A,0,3,5,Nadiya Anderson,
Val Collins,35,"Foxboro, MA",San Juan del Sur,17th,0,N/A,0,6,9,Val Collins,
John Rocker,39,"Atlanta, GA",San Juan del Sur,16th,1,N/A,1,8,5,John Rocker,
Drew Christy,25,"Winter Park, FL",San Juan del Sur,15th,6,N/A,6,10,5,Drew Christy,
Kelley Wentworth,28,"Seattle, WA",San Juan del Sur,14th,6,N/A,6,13,4,Kelley Wentworth,
Dale Wentworth,55,"Ephrata, WA",San Juan del Sur,13th,2,N/A,2,15,8,Dale Wentworth,
Julie McGee,34,"Atlanta, GA",San Juan del Sur,12th,9,0,9,18,2,Julie McGee,
Josh Canfield,32,"New York City, NY",San Juan del Sur,11th,5,0,5,21,6,Josh Canfield,
Jeremy Collins,36,"Foxboro, MA",San Juan del Sur,10th,9,3,12,24,5,Jeremy Collins,
Wes Nale,23,"Shreveport, LA",San Juan del Sur,9th,5,1,6,26,2,Wes Nale,
Reed Kelly,31,"New York City, NY",San Juan del Sur,8th,9,4,13,29,10,Reed Kelly,
Alec Christy,22,"Winter Park, FL",San Juan del Sur,7th,5,2,7,32,4,Alec Christy,
Jon Misch,26,"Waterford, MI",San Juan del Sur,6th,6,3,9,35,8,Jon Misch,
Baylor Wilson,20,"Nashville, TN",San Juan del Sur,5th,2,2,4,37,17,Baylor Wilson,
Keith Nale,53,"Shreveport, LA",San Juan del Sur,4th,6,6,12,38,16,Keith Nale,
Missy Payne,47,"Dallas, TX",San Juan del Sur,2nd Runner-Up,6,1,7,39,3,Missy Payne,
Jaclyn Schultz,25,"Las Vegas, NV",San Juan del Sur,Runner-Up,2,2,4,39,6,Jaclyn Schultz,
Natalie Anderson,28,"Edgewater, NJ",San Juan del Sur,Sole Survivor,9,4,13,39,0,Natalie Anderson,
So Kim,31,"Long Beach, CA",Worlds Apart,18th,0,N/A,0,3,4,So Kim,
Vince Sly,32,"Santa Monica, CA",Worlds Apart,17th,1,N/A,1,6,3,Vince Sly,
Nina Poersch,51,"Palmdale, CA",Worlds Apart,16th,1,N/A,1,8,4,Nina Poersch,
Lindsey Cascaddan,24,"College Park, FL",Worlds Apart,15th,3,N/A,3,11,5,Lindsey Cascaddan,
Max Dawson,37,"Topanga, CA",Worlds Apart,14th,4,N/A,4,14,5,Max Dawson,
Joaquin Souberbielle,27,"Valley Stream, NY",Worlds Apart,13th,6,N/A,6,16,4,Joaquin Souberbielle,
Kelly Remington,44,"Grand Island, NY",Worlds Apart,12th,5,0,5,19,4,Kelly Remington,
Hali Ford,25,"San Francisco, CA",Worlds Apart,11th,5,0,5,22,8,Hali Ford,
Joe Anglim,25,"Scottsdale, AZ",Worlds Apart,10th,5,3,8,24,8,Joe Anglim,
Jenn Brown,22,"Long Beach, CA",Worlds Apart,9th,5,0,5,27,18,Jenn Brown,
Shirin Oskooi,31,"San Francisco, CA",Worlds Apart,8th,6,1,7,29,7,Shirin Oskooi,
Tyler Fredrickson,33,"Los Angeles, CA",Worlds Apart,7th,6,3,9,32,5,Tyler Fredrickson,
Dan Foley,47,"Gorham, ME",Worlds Apart,6th,5,2,7,35,9,Dan Foley,
Sierra Dawn Thomas,27,"Roy, UT",Worlds Apart,5th,5,2,7,37,6,Sierra Dawn Thomas,
Rodney Lavoie Jr.,24,"Boston, MA",Worlds Apart,4th,5,0,5,38,5,Rodney Lavoie Jr.,
Carolyn Rivera,52,"Tampa, FL",Worlds Apart,Co-Runner-Up,6,5,11,39,10,Carolyn Rivera,
Will Sims II,41,"Sherman Oaks, CA",Worlds Apart,Co-Runner-Up,5,2,7,39,4,Will Sims II,
Mike Holloway,38,"North Richland Hills, TX",Worlds Apart,Sole Survivor,5,9,14,39,4,Mike Holloway,
Vytas Baskauskas,35,"Santa Monica, CA",Cambodia,20th,1,N/A,1,3,6,Vytas Baskauskas,
Shirin Oskooi,32,"San Francisco, CA",Cambodia,19th,1,N/A,1,6,5,Shirin Oskooi,
Peih-Gee Law,37,"San Francisco, CA",Cambodia,18th,1,N/A,1,9,4,Peih-Gee Law,
Jeff Varner,49,"Greensboro, NC",Cambodia,17th,2,N/A,2,11,4,Jeff Varner,
Monica Padilla,30,"Queens, NY",Cambodia,16th,4,N/A,4,13,3,Monica Padilla,
Terry Deitz,55,"Simsbury, CT",Cambodia,15th,6,N/A,6,13,0,Terry Deitz,
Woo Hwang,31,"Newport Beach, CA",Cambodia,14th,5,N/A,5,16,5,Woo Hwang,
Kass McQuillen,43,"Tehachapi, CA",Cambodia,13th,8,0,8,19,6,Kass McQuillen,
Andrew Savage,51,"San Jose, CA",Cambodia,12th,6,0,6,21,4,Andrew Savage,
